Rk,Player,Tm,Pos,Shift,GP,,TOI (EV),CF% Rel (EV),GF/60 (EV),GA/60 (EV),,TOI (PP),CF% Rel (PP),GF/60 (PP),GA/60 (PP),,TOI (SH),CF% Rel (SH),GF/60 (SH),GA/60 (SH),PlayerID
161,Chad Ruhwedel,PIT,D,0:37,44,,15:01,-1.5,1.7,2.4,,0:08,2.8,0,0,,0:33,1,0,14.7,ruhwech01
162,Chandler Stephenson,WSH,C,0:46,67,,10:24,-5,2.7,1.6,,0:09,-18.9,0,0,,1:18,-2.7,0,4.8,stephch02
163,Charles Hudon,MTL,LW,0:33,72,,12:30,1.8,2.2,3,,1:30,-2.4,6.3,1.1,,0:00,89.2,10,0,hudonch01
164,Charlie Coyle,MIN,C/RW,0:50,66,,14:08,-3,3,2.4,,1:22,-1.3,5.3,1.3,,1:01,6.9,0.9,4.5,coylech01
165,Charlie McAvoy,BOS,D,0:43,63,,19:21,2,3.2,2.2,,1:59,-7,5.9,0.9,,0:48,8,2.4,7.3,mcavoch01
166,Chase Balisy,FLA,C,0:34,8,,8:17,2.9,0,1.8,,0:00,,,,,1:31,-5.8,0,4.9,balisch01
167,Chris Bigras,COL,D,0:30,15,,11:51,-8.5,1,2,,0:21,-13.6,10.9,0,,1:38,5,0,4.8,bigrach01
168,Chris Butler,STL,D,0:40,6,,12:39,-1.3,3.2,2.4,,0:19,3.3,0,0,,0:19,-11.6,0,0,butlech01
169,Chris Kelly,ANA,C/LW,0:28,12,,7:01,-9.4,3.6,2.8,,0:00,,,,,0:38,-4.7,0,0,kellych01
170,Chris Kreider,NYR,C,0:49,58,,13:00,6.9,2.7,2.7,,2:34,0.8,10,0.8,,0:01,87.5,0,0,kreidch01
171,Chris Kunitz,TBL,LW,0:39,82,,11:03,-1.7,2.4,2,,0:14,10.3,3,0,,0:39,3.2,2.3,6.8,kunitch01
172,Chris Stewart,TOT,RW,0:53,54,,10:18,-3.3,2.5,5.7,,0:25,13.1,0,0,,0:00,,,,stewach02
173,Chris Tanev,VAN,D,0:44,42,,16:30,-1.8,2.9,2.5,,0:11,-17.3,7.5,7.5,,3:04,-11.8,1.9,8.4,tanevch01
174,Chris Thorburn,STL,RW,1:03,50,,7:00,-6.5,1.9,2.6,,0:01,,0,0,,0:00,-16.7,0,0,thorbch01
175,Chris Tierney,SJS,C,0:44,82,,13:26,-2.4,2.5,2.8,,0:59,-2,6.9,0,,1:33,2.3,1.4,5.6,tiernch01
176,Chris Wagner,TOT,C,0:40,79,,10:39,-3.2,1.2,2,,0:22,-6.8,7.5,0,,2:14,-3.3,0.8,6.2,wagnech01
177,Chris Wideman,OTT,D,0:48,16,,9:22,7,4,1.2,,2:07,-7,5.3,3.5,,0:03,,0,0,widemch01
178,Christian Djoos,WSH,D,0:33,63,,13:43,5.3,3.2,2.3,,0:14,-1,0,0,,0:03,-10.7,0,0,djoosch01
